capture_us,arm_x,arm_z,claw
1787986334967430,0,0,128
1787986334986601,0,0,128
1787986335006934,0,0,128
1787986335027238,0,0,128
1787986335046887,0,0,128
1787986335067262,0,0,128
1787986335086913,0,0,128
1787986335106592,0,0,128
1787986335127134,0,0,128
1787986335146713,0,0,128
1787986335167260,0,0,128
1787986335186746,0,0,128
1787986335206947,0,0,128
1787986335227313,0,0,128
1787986335247305,0,0,128
1787986335267479,0,0,128
1787986335287144,0,0,128
1787986335307005,0,0,128
1787986335326622,0,0,128
1787986335347346,0,0,128
1787986335366836,0,0,128
1787986335387524,0,0,128
1787986335406647,0,0,128
1787986335426539,0,0,128
1787986335446493,0,0,128
1787986335466755,0,0,128
1787986335486960,0,0,128
1787986335507281,0,0,128
1787986335527267,0,0,128
1787986335546753,0,0,128
1787986335567491,0,0,128
1787986335587244,0,0,128
1787986335606852,0,0,128
1787986335627147,0,0,128
1787986335646648,0,0,128
1787986335666575,0,0,128
1787986335686690,0,0,128
1787986335707067,0,0,128
1787986335727491,0,0,128
1787986335747574,0,0,128
1787986335767357,0,0,128
1787986335787187,0,0,128
1787986335807370,0,0,128
1787986335827381,0,0,128
1787986335846918,0,0,128
1787986335866804,0,0,128
1787986335887278,0,0,128
1787986335907102,0,0,128
1787986335927303,0,0,128
1787986335946842,0,0,128
1787986335967003,0,0,128
1787986335986578,0,0,128
1787986336006788,0,0,128
1787986336027287,0,0,128
1787986336047488,0,0,128
1787986336067112,0,0,128
1787986336086967,0,0,128
1787986336106951,0,0,128
1787986336127169,0,0,128
1787986336146984,0,0,128
1787986336167387,0,0,128
1787986336186841,0,0,128
1787986336206993,0,0,128
1787986336226953,0,0,128
1787986336247420,0,0,128
1787986336267136,0,0,128
1787986336286700,0,0,128
1787986336306541,0,0,128
1787986336327294,0,0,128
1787986336346536,0,0,128
1787986336366796,0,0,128
1787986336387115,0,0,128
1787986336407205,0,0,128
1787986336426954,0,0,128
1787986336446811,0,0,128
1787986336467044,0,0,128
1787986336487293,0,0,128
1787986336507206,0,0,128
1787986336527188,0,0,128
1787986336546530,0,0,128
1787986336567390,0,0,128
1787986336587253,0,0,128
1787986336606651,0,0,128
1787986336626840,0,0,128
1787986336647440,0,0,128
1787986336667581,0,0,128
1787986336687297,0,0,128
1787986336707225,0,0,128
1787986336726797,0,0,128
1787986336747195,0,0,128
1787986336766606,0,0,128
1787986336786731,0,0,128
1787986336807275,0,0,128
1787986336827093,0,0,128
1787986336847069,0,0,128
1787986336866847,0,0,128
1787986336887099,0,0,128
1787986336907247,0,0,128
1787986336927492,0,0,128
1787986336947246,0,0,128
1787986336966546,0,0,128
1787986336987348,0,0,128
1787986337007512,0,0,128
1787986337026623,0,0,128
1787986337047296,0,0,128
1787986337066569,0,0,128
1787986337086827,0,0,128
1787986337107045,0,0,128
1787986337127276,0,0,128
1787986337146528,0,0,128
1787986337166861,0,0,128
1787986337187216,0,0,128
1787986337206927,0,0,128
1787986337227434,0,0,128
1787986337246675,0,0,128
1787986337266820,0,0,128
1787986337287092,0,0,128
1787986337307023,0,0,128
1787986337326678,0,0,128
1787986337346779,0,0,128
1787986337367411,0,0,128
1787986337386804,0,0,128
1787986337406738,0,0,128
1787986337426503,0,0,128
1787986337446974,0,0,128
1787986337467497,0,0,128
1787986337486714,0,0,128
1787986337507204,0,0,128
1787986337527321,0,0,128
1787986337547355,0,0,128
1787986337567520,0,0,128
1787986337587421,0,0,128
1787986337607177,0,0,128
1787986337627203,0,0,128
1787986337647311,0,0,128
1787986337667417,0,0,128
1787986337687104,0,0,128
1787986337707567,0,0,128
1787986337726466,0,0,128
1787986337746902,0,0,128
1787986337766637,0,0,128
1787986337787544,0,0,128
1787986337807097,0,0,128
1787986337826635,0,0,128
1787986337846406,0,0,128
