capture_us,seq,tick_id,region_id,battery,roll,pitch,yaw,motors
1787986325852876,104362,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325871806,104371,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325892021,104380,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325911480,104389,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325931627,104398,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325951719,104407,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325971455,104416,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986325991246,104425,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326012014,104434,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326030954,104443,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326050887,104452,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326073855,104461,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326091893,104470,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326110389,104479,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326130435,104488,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326150687,104497,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326170141,104506,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326191322,104515,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326210672,104524,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326231970,104533,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326251483,104542,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326270493,104551,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326294044,104560,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326313055,104569,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326330843,104578,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326352168,104587,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326370616,104596,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326391522,104605,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326412235,104614,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326430302,104623,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326453962,104632,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326471405,104641,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326490114,104650,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326513094,104659,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326530782,104668,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326550773,104677,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326571894,104686,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326590836,104695,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326611271,104704,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326630048,104713,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326650174,104722,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326670320,104731,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326690925,104740,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326711068,104749,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326735027,104758,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326751383,104767,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
1787986326771185,104776,0,255,94,-0.33,0.02,5.35,4.82;39.18;0.35;4.35;39.8;-0.35;3.88;45.45;-0.12;3.41;45.45;0.35;0.25;-10.35;9.41
